plate,review_reason_code,customer_meaning,reviewer_comments,status
QQQQO,6,QQQQ = NASDAQ GOING TO ZERO,CONFUSING,N
RG4L415,2,QUICKWEB UNAVAILABLE,AREA CODE,N
RIP CROW,2,QUICKWEB UNAVAILABLE,HOSTILE-RIP/REST IN PEACE,Y
RIPGRPA,2,REST IN PARADISE GRANDPA,HOSTILE-RIP/REST IN PEACE,Y
ROB TWO,2,QUICKWEB UNAVAILABLE,HOSTILE-ROB; name is Roberts,Y
RR96 SS,2,MY INITIALS AND MAKE AND YEAR OF CAR,HOSTILE-SS,Y
SAMUS69,1,FAVORITE NINTENDO CHARACTER AND GOON MOVIE REFERENCE,SEXUAL-69,N
SOBUYLD,2,THE WORD SOLD WITH BUY IN THE MIDDLE OF IT.,VULGAR-SOB,Y
SQUAAD,2,MY KIDS ARE MY SQUAD,HOSTILE-SQUAD,Y
SS6S9SS,1,QUICKWEB UNAVAILABLE,SEXUAL-69,N
SUBPUNK,2,SUBLIME IS MY HUSBAND'S FAVORITE BAND AND SUBLIMEPUNK IS HIS GAMER TAG,DEGRADING-PUNK,Y
SWSHBSH,2,THE TITLE OF A SONG.,BSH/BITCH,N
U LOOZ,2,CAR IS GOING TO BE ON YOUTUBE CHANNEL,HOSTILE-YOU LOSE,N
U2SLOW G,2,YOU'RE TOO SLOW GRAMPS,STAND ALONE G,N
WIN DUI,2,FOR PEOPLE HAVING TROUBLE WITH ALCOHOL.  WIN DRIVING UNDER INFLUENCE,INSULTING-DUI,N
WOLF TRD,2,WOLF = CAR'S NAME TRD = TOYOTA PERFORMANCE MODEL,VULGAR-TRD/TURD,Y
WOODEZ,1,MY LAST NAME,WOODE/WOODY/PENIS,Y
YAELITO,7D,"THE NAME OF MY SON IN DIMINUTIVE, HIS NAME IS YAEL",YAE/COCAINE/,Y
YALLGFY,2,YOU ALL ARE GOOFY,GFY/GO FUCK YOURSELVES,N
YUNG SOL,2,QUICKWEB UNAVAILABLE,SOL/SHIT OUR OF LUCK,Y
ZBCTBUS,2,THE BITCOIN BUS,VULGAR-BTC/BIG CAMEL TOW,Y
Z QUICHE,1,USED TO DESCRIBE SOMEONE WHO IS HOTTER THAN HOT,SLANG FOR VAGINA,Y
1BLUCRU,2,LA DODGERS,GANG-CREW,Y
15DUB17,7D,WARRIORS CHAMPS 2015 2017,DRUGS/DUB,Y
2SLO BRU,2,TOO SLOW BROTHER,HOSTILE-TO SLOW BRO,N
213 LKRZ,2,LOS ANGELES LAKERS,AREA CODE,N
4BEBEKO,2,FOR MY BABY,HOSTILE-KO,Y
515OSVT,2,PRODUCTION # TO MY SVT(SPECIAL VEHICLE TEAM)LIMITED EDITION COLLECTORS VEHICLE MADE BY FORD,INSUTLING/5150 CRAZY,Y
6GNRSPT,2,6TH GENERATION CAMARO RALLY SPORT,VULGAR-GNR/GOTTA NIGGA ROLLIN,Y
888 D,2,GIFT,STAND ALONE D,N
APPA 14,2,QUICKWEB UNAVAILABLE,GANG-14,N
GEK INDO,7D,QUICKWEB UNAVAILABLE,DRUG/INDO,N
G RIDING,2,QUICKWEB UNAVAILABLE,STAND ALONE G,N
PHAT FAT,2,NICKNAME,DEGRADING/FAT,Y
WARRBOY,2,QUICKWEB UNAVAILABLE,HOSTILE-WAR,Y
I$URMOM,1,I LOVE YOUR MOM,SEXUAL AND INSULTING,N
RDORD13,2,THE LETTERS REPRESENT MY FAVORITE SAYING TO MY FAVORITE MOVIE FAST AND THE FURIOUS AND 13 IS MY FAVORITE NUMBER.,GANG-13,N
DEKARD,1,MOVIE CHARACTER,DICK HARD,Y
JBCREW,2,JB MOVING COMPANY.,GANG-CREW,Y
WTCBTC,7D,WEST COAST BEST COAST,BTC/BLAZE THAT CHRONIC,Y
AWOL88,2,MILITARY TERMINOLOGY,HOSTILE-88,N
E4MFIA,2,I WAS AN E4 IN MULTINATIONAL FORCES IRAQ AND AFGHANISTAN DEPLOYED TO BAGHDAD AND KABUL,HOSTILE-MAFIA,N
ICYSMK,7D,QUICKWEB UNAVAILABLE,SMACK/HEROIN,Y
BTRKUP,2,IT'S HER NICKNAME FOR HER YELLOW CAR,HOSTILE-BACK THE RUCK UP,Y
CAKDIVA,2,CAKE DIVA,VULGAR-SOUNDS LIKE COCK DIVA,N
NO1TATA,1,NUMBER ONE GRANDPA,SEXUAL-TATA.BREAST,N
RUIND LF,2,RUINED LIFE,INSULTING-RUINED LIFE,Y
SM STYLN,1,QUICKWEB UNAVAILABLE,SEXUAL-SM/SADO MASOCHISM,Y
TEACH PI,1,I'M A MATH TEACHER.  PI IS A MATH SYMBOL,PI/VAGINA,Y
UKE BOX,1,THE CAR IS A SCION XB THAT IS BOXY AND I PLAY THE UKULELE SO IT IS A UKE BOX,SEXUAL-BOX,Y
WYT WAGN,2,THE CAR IS WHITE AND IT IS A STATION WAGON,RACIAL-WHITE WAGON,Y
4 U BLU,2,QUICKWEB UNAVAILABLE,FOR YOU BLUE,Y
559SMST,2,559 STRANGE MUSIC STREET TEAM,AREA CODE,N
AMA COP2,5,QUICKWEB UNAVAILABLE,IM A COP TOO,N
BAAZURK,2,WILDLY ENTHUSIASTIC! ALTERNATE SPELLING FOR BERSERK.,HOSTILE-BESERK,Y
BE H8TN,2,BE HATING,BE HATING,N
CHFSQAW,2,CHIEF & SQAW FOR AN INDIAN MOTORCYCLE,RACIAL-CHIEF SQUAW,N
EBE ENT,7D,EVERYBODY EATS ENTERTAINMENT,ENT/SLANG FOR STONER,Y
KITTYO6,1,MY NICKNAME AND YEAR OF MOTORCYCLE,SEXUAL-KITTY,Y
A BRUTAL,2,BRUTAL IS THE EDITION OF MY CAR,HOSTILE,Y
BCH AXES,3,BEACH ACESS,BCH/BITCH; Legacy plate,N
BCHLUVE,3,I LOVE THE BEACH.,"BCH/BITCH; Legacy, BCHLUV current on Whale Tail",Y
BLKBOX1,1,BLACKBOX IS MY COMPANY NAME,SEXUAL-BOX; BLKBOX2 current,Y
BLURPLE,5 AND 7D,COLOR OF THE CAR,BLURP/TO BE PULLED OVER/ALSOA STRAIN OF MARIJUANA,Y
BLUWFLE,2,MY FAVORITE WAFFLES ARE BLUEBERRIES. HENCE BLUE WAFFLES,"VULGAR-BLUE WAFFLE/REFFERING TO VAGINAS (gross diseased genitals that appear blue 20,000 Up 16,000 Down; BLUWAFL current )",N
BOUNN88,2,BOUNN IS MY FIRST NAME. 88 IS MY LUCKY NUMBERS.,HOSTILE-88,N
BTLEGGR,2,BURMESE TIGER LEGGER,VULGAR-BOOTLEGGER,Y
BYE M4,2,"MY FRIEND HAS BEYM235, JUST TRYING TO MAKE THE TWO CARS MATCH",HOSTILE-M4/GUN; no BMW,N
B17 BOMR,2,HOMAGE TO B-17 AIRCRAFT FROM WW2,HOSTILE-BOMBER PLANE,N
CHEEKSS,2,CHILD HOOD NICK NAME,HOSTILE-SS,Y
CLCCREW,2,COMPANY NAME,HOSTILE-CREW,Y
DAM JES,2,ABBR FOR SONS NAMES,VULGAR-DAMN,N
DBL 8,2,DOUBLE JOY OR MONEY,HOSTILE-88,N
DEAD PRL,2,"MY CHILD EARNED RIGHT TO MAKE PLATE, DEDICATING TO FUTURE GENERATION SO LETTERS REFERENCE FAMILY MEMBERS THEN CAR ITSELF;D(DIANA), E(EVAN), A(ANDRE), D(DAVID) AND PRL(PEARL)",HOSTILE-DEAD,N
DFAP8O5,2,DISNEY FAN AN ANNUAL PASS HOLDER FROM 805 AREA CODE,AREA CODE,N
DRKHELL,2,MY CAR IS DARK AND ITS A CAMARO,HOSTILE-DARK HELL,Y
FAHRT R,3,"FAHRT MEANS TO DRIVE/TRIP/JOURNEY IN GERMAN. MY CAR IS A VW GOLF R. IT 
MEANS TO DRIVE THE R.",OBSCENE-FARTER; true ----------> ,N
FASTT SS,2,MY CAR IS FAST AND I DRIVE A CHEVY SS SO ITS THE FASTT SS,HOSTILE-SS; Chevy auto on ANI,Y
F EARTH,3,FLAT EARTH,OBSCENE-FUCK EARTH,N
FLAKNGS,2,FLORIDA KINGS (SISTERS CALYPSO BAND),"NGS? FLAKA/DRUG/FUCK LA KINGS; no internet presence for ""band""",N
FLASH5 O,5,THE FLASH 5.0,5O-POLICE; Ford auto on ANI,Y
FREE BNZ,2,MY COMPANY PAYS ME A CAR BONUS SO MY CAR IS FREE,GANG-FREE BENZ/SOMEONE INCARCERATED,Y
FUEGO V ,2,"FIRE IN SPANISH AND MY FIRST INITIAL ""V"".",STAND ALONE V,Y
GABE51O,2,MY NICKNAME,AREA CODE,N
GETNUGG,7D,INSIDE JOKE AMONG FRIENDS AND COWORKERS,NUGG/MARIJUANA,N
HARLYBX,1,HARLEY BOX LIKE (LUNCH BOX),SEXUAL-BOX; HD on ANI,Y
HBBITNG,2,FAMILY NICKNAME,HOSTILE-BITING,Y
HC DK 88,2,FAMILY NAME INITIAL-HELEN CHO DANIEL KIM LUCKY NUMBER-88,HOSTILE-88,N
HULEGAN,2,RUSSIAN WORD LIKE BAD BOY,HOOLIGAN,N
HUMDEAD,2,HUMBOLDT GRATEFUL DEAD FAN,VULGAR/DEAD,N
HUMM BB,1,SF GIANTS SAYING,SEXUAL-HUM,Y
IRAAQI,4,IM FROM IRAQ AND I WANT TO EXPRESS THE LOVE FOR MY COUNTRY BY HAVING IT ON MY LICENSE PLATE,COULD BE DEROGATORY TO IRAQIS,Y
JENSCRW,2,MY NAME FOR. MY FAMILY,GANG-CREW; name is Jennifer,Y
JSTD4YA,1,JUST DAN FOR YOU,JUST D FOR YOU,N
KARMS88,2,MY DAUGHTERS NAME AND BIRTHYEAR,HOSTILE-88,N
KTTY MMA,1,MOTHER OF KITTIES,SEXUAL-KITTY,Y
MHCUX,1,MHCUX IS EACH LETTER AFTER LGBTQ WHICH IS A PRIVATE MEANING TO ME TO TAKE A STAND,SOUNDS LIKE COCKS,N
MYFTYSS,2,"THIS IS FOR MY 2017 FIFTYTH EDITION CAMARO SS.. THUS, TRYING TO SAY ""MY FIFTYTH SS"".",HOSTILE-SS; Chevy auto on ANI,Y
NEELY 69,1,LAST NAME AND YEAR OF CAR,SEXUAL-69; 69 on ANI,Y
OAKR88R,2,FOOTBALL TEAM,HOSTILE-88,N
ONLY BAD,2,THE CAR IS ONLY BAD!THE IS VERY NICE ALL U CAN SAY IS IT'S ONLY BAD.,HOSTILE,Y
PAPI 5O,5,NICKNAME AND YEAR BORN,5O-POLICE,Y
PC 911,5,PORSCHE CARRERA 911,EMERGENCY NUMBER; Porsche on ANI,Y
PLADEAD,2,"PLAY DEAD..... PLAY GRATEFUL DEAD MUSIC.... DEAD IS A REFERENCE TO THE 
MUSIC BAND GRATEFUL DEAD",PLAY DEAD,Y
PUFF DRG,7D,PUFF THE MAGIC DRAGON,DRUG,N
Q BEL V,2,"A GOOD LIFE. ""QUE BELLE VIE""",STAND ALONE V,Y
RFBEYOU,2,RODAN & FIELDS-TEAM NAME BE YOU,HOSTILE-BE YOU,Y
RIP BOO,2,FRIEND WHO PASSED.,HOSTILE-REST IN PEACE,Y
RIPJLN3,2,REST IN PEACE & MY BROTHERS INITIALS,HOSTILE-REST IN PEACE,Y
SE ARMO,2,ITS DONE.,HOSTILE-ITS ON! CONFRONTATIONAL,N
SKNXBNZ,2,SKIN AND BONES,SKANKS BENZ,Y
SLM SKS,2,SLIM SKIS,HOSTILE-SLIM SUCKS,Y
SS FNE,2,"SS: SHOOT STRAIGHT, NO DOUBLE TALK FNE: FEAR NO EVIL",HOSTILE-SS; Chevy auto on ANI,Y
STONER3,7D,"MY LAST NAME IS STONE & MY FIRST INITIAL IS R. I COULDN'T DO IT WITHOUT THE NUMBER OF PEOPLE IN MY FAMILY, WHICH IS 3. THE SPACE BETWEEN STONE & R WAS ALREADY TAKEN.","STONER-DRUG REF.; STONER, STONER1 unacceptable; STONER2 current; name is Stone",N
SUMN SFT,1,SOMETHING SOFT,SEXUAL-SOMETHING SOFT,Y
TACO2 SF,1,IT'S IS MY SECOND TOYOTA TACOMA IN SAN FRANCISCO.,SEXUAL-TACO,Y
THOTTIE,1,THE HOT TIE MY START UP BUSINESS THAT GOING ON MY PERSONAL CAR.,THOT=THAT HOE OVER THERE,N
UR BUGN,2,YOU'RE BUGGING,VULGAR-YOURE BUGGING,Y
UREVBRO,2,YOU REV BRO?,HOSTILE-DO YOU REV? RACE,Y
VGAN AF,2,VEGAN AIRFORCE,VULGAR-AF,N
VWFETSH,1,VOLKSWAGON FETISH  HUSBAND ONLY OWNS VW'S,FETISH,N
VXIVXVI,6,SONS BIRTHDAY MAY 14 16,MIRROR IMAGE,N
WHORICO,3,WHO IS RICO?,OBSCENE-WHORE RICO,N
WNMWNMW,6,WIN MAN WIN NO MATTER WHAT,MIRROR IMAGE,N
1BAAD BE,2,"MY FIRST NAME IS BRIDGET AND I'M A PRIOR ATHLETE. I'M NICKNAME IS BEE. SO 
THERE, 1 BAD BEE.",VULGAR-ONE BAD BITCH,N
1BLK5OH,5,COLOR OF CAR AND ENGINE DISPLACEMENT IN LITERS,BLACK 5O; can’t see ANI,Y
1DOPEDJ,7D,I AM A REALLY GOOD DJ,DOPED,N
1FEDVAN,5,1 FRENDLY ENDANGERED DOG VAN,FEDS,N
1HYECAT,7D,ONE ARMENIAN CAT,1 HIGH GUY; Hye means Armenian,Y
1OF8,2,1 OF 8 CARS IN THE USA OF THIS TYPE,HOSTILE-18,Y
2ESTIES,1,THE NAME OF MY COMPANY IS TOOHEYS TIES.,SEXUAL-TESTES/TESTICLES,N
2K16FTW,2,2016 FOR THE WIN,COULD BE FTW/FUCK THE WORLD,N
26IN BRL,2,26 INCH BARREL,HOSTILE-26 IN BARREL/GUN,N
5XANGEL,1,5 CHILDREN-ANGELS,COULD READ AS SEX ANGEL WITH 5 BEING A SUB,Y
61 HUERA,4,61 BLONDE,HUERA/WHITE GIRL; HUERA current,Y
69 GOD,1,RACE TRACK LEDGEND,SEXUAL-69,N
69 STEPH,1,MY NAME AND FAVORITE NUMBER.,SEXUAL-69,N
7O7 BRED,2,707 IS THE AREA CODE I GREW UP IN AND BRED MEANS BLACK AND RED,AREA CODE,N
72 35OHO,2,1972 350 HORSEPOWER,HO,N
8O5 BEAR,2,"""805"" MY AREA CODE. ""BEAR"" MY PERSONAL NICKNAME.",AREA CODE,N
8O5SAND,2,AREA CODE & LIVING NEXT TO THE BEACH,AREA CODE,N
8SMILE8,2,LUCKY NUMBER/BIRTH YEAR AND POSITIVE VIBES :),HOSTILE-88,N
SSBNSK,2,SUBMARINE STOREKEEPER,HOSTILE-SS; Vet plate,Y
BEACHZZ,3,BEACH,BITCHES; BEACHS current,Y
DRTYHPY,4,DIRTY HIPPIE,DIRTY HIPPY,N
ELKHTR7,2,LIKE HUNTING ELK,HOSTILE-HATER; ELKHTR2 current,Y
FIATCH1,2,I HAVE A FIAT.IT'S A PLAY ON WORDS W/O SOUNDING DEROGATORY,VULGAR-READS LIKE BIATCH; FIATCH unacceptable,N
FK8TYPR,2,FK8 IS THE CHASSIS CODE FOR A 2017 HONDA CIVIC TYPE R. TYPR IS SHORTHAND FOR TYPE R.,VULGAR-FK/FUCK; no Honda on ANI,N
GO S TPD,3,MOVE,OBSCENE-GO STUPID,N
H8MYSLF,2,HATE MYSELF,HOSTILE-HATE,N
LOTS OF8,2,8 IS MY LUCKY NUMBER AND I HAVE A LOT,HOSTILE-LOTS OF HATE,Y
MRFYB2X,3,MR. F(FLY) Y(YOUNG) B(BACHELOR) 2(TWO) X(TIMES),OBSCENE-MR FUCK YOUR BITCH,N
PRINASS,2,PRINCESS,HOSTILE-SS,N
RI P JRT,2,REST IN PEACE JOSEPH R TORCASO,HOSTILE-RIP,Y
1SLY 5 O,5,VERY CLEAN MUSTANG GT,5 O POLICE; Ford autos on ANI,Y
13 6 11,2,MY KIDS DAYS OF BIRTH,GANG-13,Y
GLD TIP,1,GOLD TIP REFLECTS THE BEST GOLDWING (MOTORCYCLE MODEL IS A GOLDWING,GOLD TIP; Honda MC on ANI,Y
JOSE818,2,"MY NAME IS JOSE, I LIVE IN THE SANFERNANDO VALLEY 818 AREA CODE",AREA CODE,N
IREZIST,5,I RESIST,I RESIST; IRESIST ordered 2/17,Y
MUSE 13,2,NUMBER 13 IS MY MUSE,GANG-13,N
TNT 88,2,TOM & TERRI MARRIED 1988,HOSTILE-GANG,N
JORAM13,2,NOT ON QUICK WEB YET,,N
JVT 8888,2,NOT ON QUICK WEB YET,,N
KC13 CAL,2,NOT ON QUICK WEB YET,,N
LALA B,3,NOT ON QUICK WEB YET,"B=BITCH; last name doesn’t begin with B, can’t see middle name",N
LOUZE69,1,NOT ON QUICK WEB YET,69=SEXUAL; can’t see ANI,N
PG1$OG,2,,OG=ORIGINAL GANGSTER; initials are JNS,Y
SAI8888,2,NOT ON QUICK WEB YET,88=HITLER,N
1FN9ERS,3,NOT ON QUICK WEB YET,FN=EFFIN,N
14JPZ14,2,NOT ON QUICK WEB YET,14,N
283SS63,2,NOT ON QUICK WEB YET,"SS=HITLER, can’t see ANI",N
38SPL DD,2,NOT ON QUICK WEB YET,GUN; .38 SMITH AND WESSON SPECIAL,N
42OSITY,2,NOT ON QUICK WEB YET,420=WEED,N
JW BLK2,2,NOT ON QUICK WEB YET,UNSURE JEW BLACK TOO; JW BLK1 current,N
AW POOH,3,CUTE WINNIE THE POOH,POOH/POOP,N
BAMA18,2,*NOTHING IN QUICK WEB,18 - HOSTILE,N
BDK13,2,INITIALS,13 - GANG,N
BGD PLYA,1,PLAYER OF THE VIDEO GAME BATTLE GROUND,"BIG DICK PLAYER - SEXUAL(3 Up, 0 Down) (black gangster disciple 900 Up, 350 Down)",N
BLDTAKR,1,*NOTHING IN QUICK WEB,"BIG LONG DICK TAKER - SEXUAL (25 Up, 34 Down)",N
BRKEN BD,1,FANS OF A TV SHOW,BROKEN BIG DICK - SEXUAL,Y
BUKWYLD,1,BUCKWILD. MEANING SLANG FOR HAVING FUN.,"BUCK WILD - SEXUAL; BUCKWLD, BCKWILD current",Y
COCTALZ,1,*NOTHING IN QUICK WEB,COCK - SEXUAL; COCTAIL unacceptable,Y
DAT 8888,2,*NOTHING IN QUICK WEB,88 - HOSTILE,N
DOLE WPS,4,DOLE WHIPS (DISNEYLAND FOOD),"DOLE IS AUSTRALIAN UNEMPLOYMENT INSURANCE, WPS COULD STAND FOR WHITE PEOPLE SHIT; true---->",Y
DOOBIE B,7D,*NOTHING IN QUICK WEB,DOOBIE/JOINT - DRUGS; DOOBIE unacceptable ,N
DOPEAF6,3,I OWN AN AUDI A6 AND I FEEL LIKE ITS A ORETTY COOL CAR,DOPE AS FUCK - VULGAR. NO AUDI ON ANI.,N
DP BQ,1,*NOTHING IN QUICK WEB,DP/DOUBLE PENETRATION - SEXUAL,Y
DRV2FYB,2,DRIVING 2 FLY BABY,DRIVING TO FUCK YOUR BITCH - HOSTILE,N
G PACK1,2,FAVORITE TEAM,G - GANGSTER; GPACK current,Y
G RYDE1,2,G RIDE NUMBER ONE,G - GANGSTER; G RYDE current,N
HB TACO,1,HUNTINGTON BEACH TACOMA,"HUGE BALD TACO - SEXUAL. THERE IS A 2015 TACOMA ON ANI, AND CUSTOMER IS FROM HUNTINGTON BEACH.",Y
HI WITCH,3,MY DAD USED TO CALL ME HIS WITCH. THIS WAS HIS GREETING.,SOUNDS LIKE HI BITCH - VULGAR,N
HTT8888,2,*NOTHING IN QUICK WEB,88 - HOSTILE,N
HUKEM UP,2,TO HELP SOMEONE,SOUNDS LIKE FUCK THEM UP - HOSTILE,Y
IX11TR B,3,PORSCHE 911 TURBO,STANDALONE B - VULGAR. NO PORSCHE ON ANI.,Y
L CHPPO,2,TITLE OF A SONG EL CHAPPO JR...,EL CHAPO - HOSTILE/DRUGS; CHAPO current,N
MALI SC,7D,*NOTHING IN QUICK WEB,MOLLY - DRUGS,Y
MATA157,2,*NOTHING IN QUICK WEB,MATA IS KILL IN SPANISH - HOSTILE,N
MDRTTOT,2,*NOTHING IN QUICK WEB,MDR/MURDER - HOSTILE,N
MF R32,3,*NOTHING IN QUICK WEB,MF/MOTHER FUCKING - VULGAR; initials are MF,Y
ORG CHM,1,*NOTHING IN QUICK WEB,ORG SOUNDS LIKE ORGY - SEXUAL,Y
PAYY UP,2,PAYS THE BILLS,PAY UP - HOSTILE,N
QMEVEZZ,2,LAST NAME,"""QUE ME VEZ"" IS SPANISH FOR ""WHAT ARE YOU LOOKING AT"" - HOSTILE; last name Valencia",N
QUIRA69,1,SHORT OF MY LAST NAME AND THE YEAR THAT I WAS BORN,69 - SEXUAL. NO 69 ON ANI,N
SHAGTYM,1,SHANNONS GT,SHAG TIME - SEXUAL,N
SLOW14,2,SLOW 2014,14 - GANG; 14 on ANI,Y
SPIKER G,2,*NOTHING IN QUICK WEB,G - GANGSTER. LAST NAME IS GROOM,Y
SXS FUN,1,*NOTHING IN QUICK WEB,SEX IS FUN - SEXUAL,N
TUG LIFE,1,I AM A TUG BOAT CAPTAIN. SO I LIKE THE MEANING TUG LIFE,TUG/MASTURBATE - SEXUAL,N
UBJELUS,2,JEALOUS,YOU BE JEALOUS - HOSTILE,Y
UP2NGUD,2,UP TO NO GOOD,UP TO NO GOOD - HOSTILE?,Y
VFI ORG,1,*NOTHING IN QUICK WEB,ORG SOUNDS LIKE ORGY - SEXUAL,Y
VQ37S14,2,VQ37= ENGINE   S= SPORT 14 =MODEL YR,"14 - GANG. THERE IS A 2014 INFINITI Q60 ON ANI, ENGINE IS A VQ37VHR",Y
VW PUCK,1,*NOTHING IN QUICK WEB,PUCK SOUNDS LIKE FUCK - SEXUAL,Y
WSF8888,2,WSF IS THE OWNER/DRIVER INITIALS. THE NUMBER 8 IS LUCKY NUMBER.,88 - HOSTILE,N
XHITMNX,2,MY LAST NAME IS HITT AND I AM A MAN THEREFORE I AM THE HITTMAN,HITMAN - HOSTILE; HITMAN unacceptable,N
YETI 88,2,YETI IS THE NAME OF MY TRUCK AND 88 IS MY FAVORITE NUMBER,88 - HOSTILE,N
Y SASS,2,"BAM,THERE IT IS, IT HAPPENED, DONE, HERE IT IS",SASS/MOUTHING/ATTITUDE - HOSTILE?,N
YUCRYYN,2,WHY YOU CRYING? ITS JUAT ABREAVIATED,WHY YOU CRYING - HOSTILE,N
YU NEXT,2,LIKE TO PLAY GAMES,YOU'RE NEXT - HOSTILE,N
13BDK,2,INITIALS,13 - GANG,N
4O8 4SP,2,*NOTHING IN QUICK WEB,408 AREA CODE,N
4UISELL,7D,REAL ESTATE SALES,FOR YOU I SELL - DRUGS?,Y
6FALCN9,1,1969 FALCON,69 - SEXUAL. NO 69 ON ANI. NO 1969 FALCON ON ANI.,Y
69CNOVA,1,1969 CHEVROLET NOVA,69 - SEXUAL. COULD NOT VERIFY RECORD ON ANI.,Y
69NWYRK,1,MY CAR IS A 69 NEW YORKER,69 - SEXUAL. NO 69 ON ANI. NO 1969 ON ANI.,Y
7GEDE14,2,"7- MONTH 14 -DAY OF WEDDING ANNIVERSARY, GEDE- FIRST INITIAL OF MY FAMILY, G -GARY , E -ETTE, D- DANIEL , E- ELLA",14 - GANG,N
8ARM8,2,*NOTHING IN QUICK WEB,88 - HOSTILE,N
88NKGS,2,INITIALS,88 - HOSTILE,N
619 SD,2,*NOTHING IN QUICK WEB,619 AREA CODE,N
TFS CB,1,TFS IS TAK FORCE SIERRA CB IS NAVEL CONSTRUCTION BATTALION OR SEABEE,CB/COCK BLOCK - SEXUAL; Vet plate,Y
BOXBURN,1,NAME OF BUSINESS,BOX/VAGINA BURN - SEXUAL,N
C FNFAST,3,SEA FUN FAST,FNFAST/FUCKING FAST - VULGAR,N
CHGO LA,1,I AM FROM CHICAGO AND LA,CHINGO/TO FUCK - SEXUAL,N
HYDROJI,7D,"""HYDROGEN"" (CAR) + ""EMOJI"" (JAPANESE) MASHUP",HYDROPONICS - DRUGS. THERE IS A 2017 TOYOTA HYDROGEN VEHICLE ON ANI.,Y
JAPTACO,1,"I AM JAPANESE AND TACOMAS ARE CALLED ""TACOS"" FOR A NICKNAME.",JAPANESE TACO/VAGINA - SEXUAL. NO TOYOTA ON ANI.; JAP ,N
MUM2TNT,2,MOM TO TARYN AND YROY,TNT/EXPLOSIVES - HOSTILE,Y
RR818,2,*NOTHING IN QUICK WEB,818 AREA CODE,N
SR916,2,SUCCESS REENTRY IN SACRAMENTO,916 AREA CODE,N
STA8818,2,SUTRA FOREVER,"88, 18, 818 AREA CODE - HOSTILE",N
WRSTLYA,2,*NOTHING IN QUICK WEB,WRESTLE YOU - HOSTILE,Y
32FM357,2,"32 = 32ND DEGREE FREEMASON 
FM = FRANCISCO MARQUES
357 = BLUE LODGE SYMBOLIC NUMBERS",.357 CALIBER - HOSTILE,Y
B SUCIO,3,UNCKLES NICK NAME.,"STANDALONE B, SUCIO IS SPANISH FOR ""DIRTY""",N
FN GUZZI,1,*NOTHING IN QUICK WEB,FN/FUCKING - SEXUAL,N
HOGINIT,1,A  HOG IS IN REFERENCE TO MY HARLEY DAVIDSON MOTOR CYCLE. BASICALLY RIDING IT.,"HOGING IT/HAVING SEX WITH BIG WOMEN - SEXUAL. THERE IS A 2012 HARLEY ON ANI, THIS IS A MOTORCYCLE PLATE.",Y
MKY MOZ,1,MYNICKNAME GRWOING UP,MKY/MONKEY/VAGINA - SEXUAL,Y
ABHI G,2,ABHINAV KUMAR GATLAABHI          G,STAND ALONE G; last initial G,Y
ALINE B,3,MY FIRST NAME AND LAST NAME INITIAL,STAND ALONE B; last initial B,Y
ASSC,2,QUICKWEB UNAVAILABLE,ASS,Y
ATOMC 69,1,"COLOR AND YEAR OF CAR 
(ATOMIC SILVER 1969)",69; no 69 on ANI,N
A2Z 8888,2,"IN MY HOMELAND , 8888 MEAN LUCKY",88,N
BEE BRZ,2,CAR IS YELLOW AND BLACK SUBARU BRZ,BREEZY,Y
BIGD9ER,1,QUICKWEB UNAVAILABLE,BIG D; name is Dino,N
B O M D,1,INITIALS OF KIDS AND ONE PET,BOMB D OR BITCHES ON MY DICK,N
BOODFUL,2,BEAUTIFUL,BOOTYFULL,N
BOOSBTR,2,WIFE NICKNAME BOO.. CAR LOOKS LIKE BUTTER,BEATER,N
BREZY 75,2,THIS GOING ON A 1975 CAPRICE CLASSIC REGISTERED TO TO MYSELF,BREEZY; BREEZY current,Y
CAMAR6O,12,QUICKWEB UNAVAILABLE,6 FOR A G ( CUSTOMERS LAST NAME IS CAMARGO); CARMARGO current,N
CA1ZADA,12,QUICKWEB UNAVAILABLE,1 FOR L; CALZADA current,N
CHARDO 1,2,NAME AND BIRTH DAY.,SLANG FOR DESCRIBING AFRICAN AMERICANS; name not CHARDO,N
CJ5 Y69,1,THIS IS A 1969 JEEP CJ5.,no 69 on ANI,N
CLANGPP,2,IT'S A C++ COMPILER - A TOOL WIDELY USED IN COMPUTER SCIENCE.,PEE PEE,N
COUGRS1,1,MY HUSBAND IS A HUGE BYU  COUGAR FAN,SEXTUAL,Y
CPTBRAM,2,"CAPTAIN BRAM, IT IS MY GRANDFATHERS NAME.  HE IS A WORLD WAR 2 HERO.",CPT= COLOR PEOPLE TIME,Y
CPTLA KT,2,CAPITOLA KT,CPT= COLOR PEOPLE TIME,Y
CTR FK8,2,"CTR: CIVIC TYPE R
FK8: IS THE VEHICLE CHASIS CODE VIN# SHH FK8 G71HU201522
",FK8= FUCK IT; Hoda on ANI,N
C WALK,2,MY NAME,CRIP WALK; not name,N
DDER,1,QUICKWEB UNAVAILABLE,DOUBLE D,Y
DDYMFNZ,2,DADDY MUFFINS,MF= MOTHER FUCKER,N
DI TRING,2,QUICKWEB UNAVAILABLE,DIE TRYING,Y
DKNGT89,1,DARK KNIGHT 89,DICK NIGHT,Y
EATAXMN,1,QUICKWEB UNAVAILABLE,SEXTUAL,N
